Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body
28431,diplectanid,Noun,"Any member of the Diplectanidae, a family of monopisthocotylean monogenean flatworms", zoology,"2015 August 12, Delane C. Kritsky, Micah D. Bakenhaster, Douglas H. Adams, Pseudorhabdosynochus species (Monogenoidea, Diplectanidae) parasitizing groupers (Serranidae, Epinephelinae, Epinephelini) in the western Atlantic Ocean and adjacent waters, with descriptions of 13 new species, in Parasite[1], volume 22, DOI:10.1051/parasite/2015024:There, a small probe and dissecting microscope were used to isolate diplectanids from the gills or sediment.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28456,diplocaulid,Noun,Any member of the Diplocaulidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28458,diplocercid,Noun,Any member of the Diplocercidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28470,diplodactylid,Noun,Any member of the family Diplodactylidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28473,diplodocid,Noun,Any member of the family Diplodocidae of large dinosaurs., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28580,diplommatinid,Noun,Any member of the Diplommatinidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28585,diplomystid,Noun,Any member of the Diplomystidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28629,diplotriaenid,Noun,Any member of the Diplotriaenidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28640,diplurid,Noun,Any member of the family Dipluridae of funnel-web tarantulas., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28658,dipnorhynchid,Noun,Any member of the Dipnorhynchidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28667,dipodid,Noun,Any member of the Dipodidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28756,diprionid,Noun,Any member of the Diprionidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28784,diprotodontid,Noun,"Any member of the family Diprotodontidae of extinct large marsupials, similar to wombats in form.", zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
29199,diretmid,Noun,Any member of the Diretmidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30335,discid,Noun,Any member of the Discidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30345,discina,Noun,Any member of the brachiopod genus Discina., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30353,discinid,Noun,Any member of the Discinidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30556,discoglossid,Noun,Any member of the Discoglossidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30557,discoglossidean,Noun,Any of the family Discoglossidae of primitive frogs., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
30946,discosauriscid,Noun,Any member of the Discosauriscidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
36076,ditomyiid,Noun,Any member of the Ditomyiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
36715,diviniid,Noun,Any member of the Diviniidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
36961,dixid,Noun,Any member of the Dixidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
37041,djadochtatheriid,Noun,Any member of the Djadochtatheriidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
37500,docodontid,Noun,Any member of the Docodontidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
37503,docoglossan,Noun,Any member of the Docoglossa., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
38731,doid,Noun,"Any member of the Doidae, a family of moths.", zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
38903,dolichomacrostomid,Noun,Any member of the Dolichomacrostomidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
38905,dolichometopid,Noun,Any member of the Dolichometopidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
