term,definition
mediology,The study of mass media and its influence
megagenomics,The study of megagenomes
melissopalynology,The study of pollen from bees and their honey.
melittology,The study of bees.
melodics,The branch of music theory that deals with pitch and melody.
membrane mimetic chemistry,the study of processes and reactions whose developments have been inspired by the biological membrane
memetics,The study of memes and their social and cultural effects.
memology,The study of memes
mensuration,"The study of measurement, especially the derivation and use of algebraic formulae to measure the areas, volumes and different parameters of geometric figures"
mesology,The study of the mutual interrelationships between organisms and their environment; branch of biology; former term for ecology
mesometeorology,The study of atmospheric phenomena on a larger scale than micrometeorology.
mesonics,The study of mesons.
metabalomics,the study of chemical processes involving metabolites.
metabogenomics,The study of metabogenomes
metaboloepigenetics,The study of the relationship between metabolism and epigenetics
metabologenomics,The study of the metabolomes and genomes of organizms
metabolomics,"The study of the range of metabolites present in a person's body at normal times, and when suffering from specific diseases; may be useful as a diagnostic tool"
metachemistry,"The study of substances that can release large amounts of energy relative to their mass, such as molecules in metastable excited states"
metagenomics,"The study of genomes recovered from environmental samples; especially the differentiation of genomes from multiple organisms or individuals, either in a symbiotic relationship, or at a crime scene."
metalexicography,"The study of lexicography 1986, Robert Ilson, Lexicography: An Emerging International Profession, page 101:Metalexicography can be divided into five fields of interest; the first is lexicographic theory [] 1988, Ladislav Zgusta et al., Lexicography Today: An Annotated Bibliography of the Theory of Lexicography[1], page 7:This is a bibliography of works that deal with the theory, methods, and procedures of lexicography (in short, with what is called in French and German metalexicography)"
metalinguistics,The branch of linguistics that studies language and its relationship to culture and society.
