term,definition
electrophysiology,the branch of physiology that studies the electrical activity of organisms
electrorheology,The study of the effects of electric fields on the rheological properties of materials
electrostatics,"the branch of physics that deals with static electricity; that is, with the force exerted by an unchanging electric field upon a charged object"
emergency medicine,"The branch of medicine that deals with the diagnosis and treatment of trauma, injuries and other sudden illnesses"
emetology,"The study of the causes of emesis, i.e., vomiting, usually sub-specialities of gastroenterology or neurology."
endocrinology,"The study of the endocrine glands of the human body, the hormones produced by them, and their related disorders"
endodontics,The branch of dentistry dealing with the dental pulp and root
endodontology,The study of endodontics.
energetics,The branch of physics that studies the flow and transformation of energy
enigmatology,the study of puzzles
enterology,The study of the intestines.
entomotomy,The science of dissecting insects.
entropology,The study of human actions that lead to the disintegration and increasing disorder of highly evolved social systems
environmental ethics,"The branch of ethics that examines questions of moral right and wrong relating to the management, protection, or endangerment of the natural environment."
enzymology,The branch of science that studies enzymes.
ephebiatrics,The branch of medicine that deals with the treatment of adolescents
epidemiology,"The branch of a science dealing with the spread and control of diseases, viruses, concepts etc"
epigenetics,"The study of the processes involved in the genetic development of an organism, especially the activation and deactivation of genes"
epigenetics,The study of heritable changes caused by the activation and deactivation of genes without any change in DNA sequence.
epigenomics,The study of the effects of chromatin structure on the function of the included genes
epileptology,The branch of neurology concerned with epilepsy
epistemology,"The branch of philosophy dealing with the study of knowledge; theory of knowledge, asking such questions as ""What is knowledge?"", ""How is knowledge acquired?"", ""What do people know?"", ""How do we know what we know?"""
epizootiology,The study of the dynamics and epidemiology of animal diseases
epsilonics,The study of error in mathematical approximations.
ergodic theory,The study of the properties of dynamic systems over large timescales.
ergology,"The study of the psychological effects of work, or of work patterns; especially the causes of work-related stress (job stress)."
ergonomics,"The science of the design of equipment, especially so as to reduce operator fatigue, discomfort and injury"
erotology,The study of sexual stimuli and behaviour.
eschatology,"The study of the end times the end of the world, notably in Christian and Islamic theology, the second coming of Christ, the Apocalypse or the Last Judgment."
esoterics,The study of esoterica
ethicology,The study of ethics.
ethics,The study of principles relating to right and wrong conduct.
ethnoanthropology,The study of the ethnological aspects of anthropology
ethnobiology,The study of the relationships between plants and animals and human cultures
ethnoecology,The study of the relationships between people and the ecology of the environments in which they live
ethnoentomology,The branch of entomology that deals with the interaction of people and insects
ethnogrammar,The branch of ethnolinguistics dealing with grammar.
ethnography,The branch of anthropology that scientifically describes specific human cultures and societies.
ethnology,The branch of anthropology that studies and compares the different human cultures.
ethnomathematics,The study of the interrelationship between mathematics and culture.
ethnomusicology,The study of music and culture; the study of music as it relates to its cultural context.
ethnomycology,The study of the historical uses and sociological impact of fungi.
ethnonymics,The study of ethnonyms.
ethnoornithology,The study of the relationship between birds and people.
ethnopedology,The study of local (indigenous) knowledge of soils
ethnophilosophy,The study of indigenous philosophical systems associated with specific ethnic groups.
ethnoprimatology,The study of interactions between humans and other primates
ethnopsychopharmacology,The study of how psychopharmacology varies across ethnic groups.
ethnosemantics,The branch of ethnolinguistics dealing with semantics.
ethnostatistics,The study of of the social forces that influence the production of statistics.
ethnozoology,The study of past and present interrelationships between human cultures and animals.
ethopharmacology,The study of the effects of pharmaceutical drugs on behaviour
etymology,"The study of the historical development of languages, particularly as manifested in individual words."
eubiotics,The science of hygienic and healthy living.
eugenics,"The science of improving stock, whether human or animal."
euphenics,The science of making biological (phenotypic) improvements to humans after birth.
euthenics,The study of the effects of place on people.
euthenics,The study of improvement of human function when their environment improves.
eventology,"The branch of statistics that deals with random, vague events"
exanthematology,The study of exanthem.
excitonics,The study of excitons.
executive branch,The branch of government that oversees the carrying out of the laws
exegetics,The science of interpretation or exegesis.
exobiology,The branch of biology dealing with lifeforms from a different planet
exoconsciousness,"The study of extraterrestrial dimensions of human consciousness: the origins, dimensions, endowments and abilities of human consciousness that link us directly to the cosmos and its inhabitants."
exocrinology,"The study of external (exocrine) secretions, especially of pheromones"
exogeography,The study of the physical structure and inhabitants outside the Earth.
palaeoecology,The study of past ecologies by using the evidence of fossils
palaeogenomics,"The study of ancient genomes, especially those of extinct organisms"
palaeogeochemistry,The study of the changes in the geochemistry of the Earth over geologic time
palaeogeography,"The study of historical geography of the (chiefly physical, but sometimes political/cultural) geography of the world in the geologic past."
palaeohydrology,The study of ancient rivers and other hydrological features
palaeomammalogy,The study of prehistoric mammals
palaeosalinity,The study of these salinities
palaeoxylology,"the study of fossil wood, whether petrified or not"
paleoalgology,The study of fossil algae
paleoauxology,The study of prehistoric change
paleobiology,The branch of biology or paleontology concerned with the study of fossils of plants and animals
paleobotany,The branch of paleontology that deals with the study of plant fossils.
paleoceanography,"The study of the history of the oceans, especially their circulation, chemistry, biogeography, fertility, and sedimentation."
paleoecology,The study of ecology in the ancient past.
paleoethnobotany,The study of plant remains from archaeological sites.
paleoethology,The study of the behaviour of extinct species of humans.
paleoethology,The study of behavior of organisms in the fossil record.
paleography,The study of old or ancient forms of writing.[2]
paleoimmunology,"The study of the ancient roots of the immune system 2015 August 6, Despina Moissidou et al., Invasive versus Non Invasive Methods Applied to Mummy Research: Will This Controversy Ever Be Solved?, in BioMed Research International[1], volume 2015, DOI:10.1155/2015/192829:Advances in paleoimmunology [ 48 50 ] and paleomicrobiology through soft/hard tissue analysis and secretion swabs led to the retrospective diagnosis of several pathogens (e.g., salmonellosis, tuberculosis, malaria, human leishmaniasis, and Chagas disease) in mummies [ 51 67 ] and revealed some of their evolutionary patterns [ 68 ]."
paleolimnology,The study of the paleoenvironments of inland bodies of water
paleolinguistics,The study of the distant human past by linguistic means.
paleolinguistics,The study of prehistoric languages using linguistic evidence alone to try to reconstruct them.
paleology,The study of antiquities or of the ancient past
paleomagnetics,The study of paleomagnetism
paleomagnetism,The study of the strength and direction of the Earth's magnetic field as it has changed over geologic time
paleomicrobiomics,The study of prehistoric microbiomes
paleoneurology,The study of the nervous systems of extinct animals
paleonutrition,The study of dietary nutrition in ancient or primitive peoples.
paleopalynology,"The branch of palynology concerned with the study of ancient pollens and spores, rather than with those still extant."
paleoparasitology,"The study of ancient parasites, especially as a branch of archaeology"
paleopathology,The study of ancient diseases
paleopedology,The study of geologic soils
paleophycology,"The branch of paleontology that deals with fossil algae 1956, Kanazawa Daigaku, The Science Reports of Kanazawa University - Volumes 5-7, page 254:An endeavor to introduce the biological species concept into paleontologic species has been explored by many progressive paleontologists"
paleoprimatology,The study of ancient (typically extinct) primates
paleornithology,The branch of paleontology that deals with fossil birds.
paleoseismology,"The study of ancient rocks and sediments for evidence of seismic events, such as earthquakes and tsunamis, from times before records were kept."
paleotempestology,The study of past tropical cyclone activity by means of geological evidence and historical documentary records.
paleovirology,"The study of ancient, now-extinct viruses."
paleozoology,"The branch of zoology dealing with fossils, and the creatures that were transformed into them"
pangenomics,The study of pangenomes
panzootics,The study of panzootic disease
papyrology,The study of ancient texts written on papyrus.
parabiology,The study of biological paranormal activity
paraconsistent logic,The study of such systems.
paralinguistics,The study of paralanguage.
paranormalism,The study of the paranormal.
paraphysics,The study of paranormal activity and the occult as it applies to physical phenomena.
parapsychology,"The study of that which cannot yet be explained; psychic or occult phenomena, such as telepathy and ghosts."
paremiology,The study of proverbs.
particle mechanics,The study of the motion of individual particles.
pathoanatomy,The study of the causes of disease based on the examination of organs and tissues
pathobiology,The branch of biology that deals with pathology with greater emphasis on the biological than on the medical aspects.
pathocenosis,The study of disease in societies
pathognomonics,The study of characteristic indications (pathognomonic signs) of particular diseases
patholinguistics,The study of language disorders.
pathological histology,The study of the microscopic structure of living tissue (histology) of diseased tissue (as opposed to normal histology which studies the histology of healthy tissues).
pathology,"The branch of medicine concerned with the study of the nature of disease and its causes, processes, development, and consequences."
patristics,The study of the works of the early Christian Church Fathers.
patrology,The study of the lives and works (especially the writings) of the Church Fathers
patronomatology,The branch of knowledge that deals with personal names and their origin; the study of patronymics.
pediatrics,The branch of medicine that deals with the treatment of children.
